Início da Leitura : Um voo sobre as capitais brasileiras: Região Centro-Oeste
Page : 1 Time : 18/12/2022 15:21:14
Timestamp: 633921965,6227	 X: 379,495250897968 Y:342,45104994366
Timestamp: 633921971,7768	 X: 380,065245757414 Y:343,606364673293
Timestamp: 633921983,7357	 X: 380,214851136922 Y:343,916842145587
Timestamp: 633921996,5683	 X: 380,433411166552 Y:343,996688719046
Timestamp: 633922005,0349	 X: 381,581129569426 Y:345,077717235353
Timestamp: 633922016,5936	 X: 381,123783730109 Y:344,8175689938
Timestamp: 633922027,626	 X: 380,287687987738 Y:345,310503415016
Timestamp: 633922038,0753	 X: 372,371496893343 Y:348,616217056006
Timestamp: 633922049,5476	 X: 324,396610987844 Y:377,38686454332
Timestamp: 633922074,5904	 X: 333,890275834175 Y:371,502409724259
Timestamp: 633922083,1699	 X: 295,986849561977 Y:383,051325966149
Timestamp: 633922094,5569	 X: 282,975365147018 Y:386,489146621204
Timestamp: 633922104,9196	 X: 272,302035170893 Y:389,06219589173
Timestamp: 633922115,8725	 X: 263,748544624876 Y:392,111791433033
Timestamp: 633922127,7544	 X: 252,828933581086 Y:393,74069926756
Timestamp: 633922152,6059	 X: 245,175979806711 Y:393,069326612222
Timestamp: 633922161,2255	 X: 244,797245478354 Y:390,743391483218
Timestamp: 633922171,7631	 X: 244,945959024529 Y:392,272016990656
Timestamp: 633922183,6511	 X: 244,936803404089 Y:392,468066471776
Timestamp: 633922194,4939	 X: 244,687338039339 Y:393,06702700432
Timestamp: 633922205,0511	 X: 244,532840471454 Y:393,48048059112
Timestamp: 633922216,541	 X: 244,6764110755 Y:392,757605523181
Timestamp: 633922230,632	 X: 247,251113768353 Y:394,035593814632
Timestamp: 633922238,4932	 X: 248,020359799855 Y:394,802601380784
Timestamp: 633922249,2011	 X: 248,887763798432 Y:395,476605707361
Timestamp: 633922261,5751	 X: 248,479791550174 Y:395,892956889449
Timestamp: 633922271,6423	 X: 247,631461474617 Y:395,834226993708
Timestamp: 633922282,7722	 X: 246,840664236935 Y:396,319238980745
Timestamp: 633922294,6876	 X: 248,05634834559 Y:396,686342822126
Timestamp: 633922304,9157	 X: 248,349846042194 Y:396,962793395412
Timestamp: 633922316,5142	 X: 247,967293934514 Y:397,141183711746
Timestamp: 633922327,7747	 X: 247,980503617829 Y:397,461549394001
Timestamp: 633922339,5975	 X: 247,254294318735 Y:397,476790218767
Timestamp: 633922349,6416	 X: 247,878394384321 Y:397,89951474756
Timestamp: 633922361,1315	 X: 249,609236596088 Y:396,695306105348
Timestamp: 633922371,6271	 X: 249,950038320531 Y:396,490839854367
Timestamp: 633922383,1238	 X: 250,430613254364 Y:396,208090250063
Timestamp: 633922394,3649	 X: 249,697315353802 Y:397,078115376016
Timestamp: 633922418,5841	 X: 249,546346105646 Y:396,016462700858
Timestamp: 633922427,6301	 X: 248,60596911469 Y:394,728695323392
Timestamp: 633922438,2258	 X: 247,647396464304 Y:395,983238921522
Timestamp: 633922449,5922	 X: 247,810780523725 Y:395,514235591642
Timestamp: 633922460,8892	 X: 246,285220124722 Y:398,994037384792
Timestamp: 633922471,3509	 X: 246,202115908425 Y:399,166590069824
Timestamp: 633922497,671	 X: 245,866873623756 Y:399,844946050714
Timestamp: 633922504,3829	 X: 244,702827427571 Y:403,348976766943
Timestamp: 633922516,3691	 X: 245,322241827507 Y:400,97047201839
Timestamp: 633922527,6026	 X: 246,255698197658 Y:401,963237586514
Timestamp: 633922538,1318	 X: 247,472178411536 Y:402,129758151389
Timestamp: 633922549,2667	 X: 247,292187233603 Y:403,077191379102
Timestamp: 633922575,6683	 X: 244,638673385538 Y:404,307616999122
Timestamp: 633922582,6231	 X: 244,063894689676 Y:404,878993287092
Timestamp: 633922594,5783	 X: 243,286381038125 Y:405,402286073633
Timestamp: 633922606,622	 X: 244,019673560963 Y:405,365353057818
Timestamp: 633922616,1995	 X: 243,349787568044 Y:405,819102023944
Timestamp: 633922628,025	 X: 248,615346670103 Y:406,010542743813
Timestamp: 633922653,6583	 X: 252,754975254954 Y:404,940009292729
